Local time,Ask,Bid,AskVolume,BidVolume
11.04.2022 02:30:05.812 GMT+0530,1.09253,1.09202,0.23,0.23
11.04.2022 02:30:07.646 GMT+0530,1.09254,1.092,0.23,0.9
11.04.2022 02:30:07.759 GMT+0530,1.09256,1.09195,0.44,0.9
11.04.2022 02:30:08.305 GMT+0530,1.09256,1.092,0.44,0.9
11.04.2022 02:30:08.702 GMT+0530,1.09256,1.09201,0.44,0.23
11.04.2022 02:30:08.889 GMT+0530,1.09256,1.092,0.44,0.9
11.04.2022 02:30:08.940 GMT+0530,1.09269,1.092,0.67,0.9
11.04.2022 02:30:09.760 GMT+0530,1.09269,1.092,0.67,0.9
11.04.2022 02:30:10.412 GMT+0530,1.09269,1.09201,0.67,0.23
11.04.2022 02:30:10.683 GMT+0530,1.09263,1.09195,0.23,1.13
11.04.2022 02:30:11.786 GMT+0530,1.09263,1.09195,0.23,0.9
11.04.2022 02:30:12.046 GMT+0530,1.09259,1.09196,0.23,0.9
11.04.2022 02:30:12.097 GMT+0530,1.0926,1.09192,0.23,1.13
11.04.2022 02:30:12.993 GMT+0530,1.0926,1.09192,0.23,0.9
11.04.2022 02:30:13.211 GMT+0530,1.09256,1.09187,0.23,0.9
11.04.2022 02:30:14.068 GMT+0530,1.09256,1.09188,0.23,0.23
11.04.2022 02:30:14.878 GMT+0530,1.09256,1.09187,0.23,0.9
11.04.2022 02:30:14.929 GMT+0530,1.09261,1.09182,0.23,0.9
11.04.2022 02:30:16.085 GMT+0530,1.09248,1.09187,0.23,0.9
11.04.2022 02:30:16.214 GMT+0530,1.09248,1.09188,0.23,0.9
11.04.2022 02:30:16.265 GMT+0530,1.09248,1.09171,0.23,0.9
11.04.2022 02:30:17.029 GMT+0530,1.09248,1.09188,0.23,0.9
11.04.2022 02:30:17.204 GMT+0530,1.09248,1.0919,0.23,0.23
11.04.2022 02:30:17.895 GMT+0530,1.09201,1.09191,3,0.23
11.04.2022 02:30:17.959 GMT+0530,1.09201,1.09188,3,0.9
11.04.2022 02:30:18.130 GMT+0530,1.09201,1.09171,3,0.62
11.04.2022 02:30:18.185 GMT+0530,1.09201,1.09158,3,0.9
11.04.2022 02:30:18.864 GMT+0530,1.09201,1.09188,3,0.9
11.04.2022 02:30:18.915 GMT+0530,1.09201,1.09158,3,0.9
11.04.2022 02:30:18.965 GMT+0530,1.09201,1.09171,3,0.62
11.04.2022 02:30:19.863 GMT+0530,1.09201,1.09188,3,0.9
11.04.2022 02:30:20.015 GMT+0530,1.09201,1.09171,3,0.36
11.04.2022 02:30:20.141 GMT+0530,1.09201,1.09169,3,0.9
11.04.2022 02:30:22.082 GMT+0530,1.09201,1.09176,3,0.23
11.04.2022 02:30:24.083 GMT+0530,1.09201,1.09176,3,0.23
11.04.2022 02:30:24.296 GMT+0530,1.09201,1.09167,3,0.8
11.04.2022 02:30:24.810 GMT+0530,1.09201,1.09167,3,0.8
11.04.2022 02:30:26.964 GMT+0530,1.09201,1.09165,3,0.9
11.04.2022 02:30:27.015 GMT+0530,1.09201,1.09167,3,0.9
11.04.2022 02:30:29.106 GMT+0530,1.09201,1.09166,3,0.9
11.04.2022 02:30:33.232 GMT+0530,1.09201,1.0918,3,0.23
11.04.2022 02:30:33.636 GMT+0530,1.09201,1.09182,3,0.23
11.04.2022 02:30:37.265 GMT+0530,1.09201,1.09196,3,0.23
11.04.2022 02:30:39.082 GMT+0530,1.09201,1.09183,3,0.23
11.04.2022 02:30:40.478 GMT+0530,1.09201,1.09192,3,0.23
11.04.2022 02:30:40.529 GMT+0530,1.09201,1.09176,3,0.36
11.04.2022 02:30:40.630 GMT+0530,1.09201,1.09176,3,0.44
11.04.2022 02:30:42.215 GMT+0530,1.09201,1.09181,3,1.13
11.04.2022 02:30:43.084 GMT+0530,1.09201,1.09195,3,0.23
11.04.2022 02:30:47.515 GMT+0530,1.09201,1.0918,3,0.23
11.04.2022 02:30:49.486 GMT+0530,1.09201,1.09194,3,0.23
11.04.2022 02:30:53.591 GMT+0530,1.09201,1.0918,3,0.23
11.04.2022 02:30:53.958 GMT+0530,1.09201,1.09182,3,1.13
11.04.2022 02:31:02.830 GMT+0530,1.09201,1.0918,3,0.23
11.04.2022 02:31:04.265 GMT+0530,1.09201,1.0919,2.99,0.23
11.04.2022 02:31:09.495 GMT+0530,1.09201,1.09194,2.99,0.23
11.04.2022 02:31:11.898 GMT+0530,1.09201,1.0918,2.99,0.23
11.04.2022 02:31:11.985 GMT+0530,1.09201,1.09197,2.99,0.23
11.04.2022 02:31:22.600 GMT+0530,1.09201,1.0918,2.99,0.23
11.04.2022 02:31:22.700 GMT+0530,1.09201,1.09197,2.99,0.23
11.04.2022 02:31:32.660 GMT+0530,1.09201,1.0918,2.99,0.23
11.04.2022 02:31:32.805 GMT+0530,1.09201,1.09198,2.99,0.23
11.04.2022 02:31:34.851 GMT+0530,1.09201,1.0918,2.99,0.23
11.04.2022 02:31:34.985 GMT+0530,1.09201,1.09197,2.99,0.23
11.04.2022 02:31:39.803 GMT+0530,1.09201,1.09196,2.99,0.23
11.04.2022 02:31:40.793 GMT+0530,1.09201,1.09187,2.99,0.23
11.04.2022 02:31:40.890 GMT+0530,1.09201,1.09198,2.99,0.23
11.04.2022 02:31:42.015 GMT+0530,1.09201,1.09187,2.99,0.23
11.04.2022 02:31:58.996 GMT+0530,1.09201,1.09171,2.99,0.23
11.04.2022 02:31:59.304 GMT+0530,1.09201,1.09171,2.99,0.23
11.04.2022 02:31:59.355 GMT+0530,1.09201,1.09188,2.99,0.23
11.04.2022 02:32:01.153 GMT+0530,1.09201,1.09171,2.99,0.23
11.04.2022 02:32:01.370 GMT+0530,1.09201,1.09188,2.99,0.23
11.04.2022 02:32:02.809 GMT+0530,1.09201,1.09171,2.99,0.23
11.04.2022 02:32:02.985 GMT+0530,1.09201,1.09189,2.99,0.23
11.04.2022 02:32:14.716 GMT+0530,1.09201,1.09159,2.98,0.23
11.04.2022 02:32:19.439 GMT+0530,1.09201,1.09157,2.98,0.23
11.04.2022 02:33:02.171 GMT+0530,1.09201,1.09143,2.98,0.23
11.04.2022 02:33:06.190 GMT+0530,1.09201,1.0913,3.23,0.23
11.04.2022 02:33:12.461 GMT+0530,1.09192,1.09134,0.23,0.23
11.04.2022 02:33:15.945 GMT+0530,1.09146,1.09118,0.23,0.44
11.04.2022 02:33:15.996 GMT+0530,1.09146,1.0911,0.23,0.23
11.04.2022 02:33:16.480 GMT+0530,1.09143,1.09083,0.23,0.23
11.04.2022 02:33:16.531 GMT+0530,1.09146,1.0911,0.23,0.23
11.04.2022 02:33:32.830 GMT+0530,1.09196,1.0916,0.23,0.23
11.04.2022 02:33:33.594 GMT+0530,1.09196,1.0916,0.23,0.23
11.04.2022 02:34:02.390 GMT+0530,1.09181,1.09013,1.13,0.23
11.04.2022 02:34:38.966 GMT+0530,1.09151,1.09093,0.9,0.23
11.04.2022 02:34:43.576 GMT+0530,1.0915,1.09078,0.9,0.44
11.04.2022 02:34:43.627 GMT+0530,1.09151,1.09066,0.9,0.23
11.04.2022 02:34:43.765 GMT+0530,1.0912,1.09081,0.23,1.13
11.04.2022 02:34:43.816 GMT+0530,1.09078,1.09045,0.23,0.23
11.04.2022 02:34:45.585 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:46.695 GMT+0530,1.09113,1.09039,0.9,0.9
11.04.2022 02:34:46.746 GMT+0530,1.09151,1.09013,0.9,0.23
11.04.2022 02:34:47.009 GMT+0530,1.0915,1.09023,1.8,0.44
11.04.2022 02:34:47.059 GMT+0530,1.09151,1.09013,0.9,0.23
11.04.2022 02:34:47.150 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.200 GMT+0530,1.0915,1.09014,0.9,0.23
11.04.2022 02:34:47.450 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.500 GMT+0530,1.0915,1.09017,0.9,0.44
11.04.2022 02:34:47.600 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.650 GMT+0530,1.09151,1.09018,0.9,0.44
11.04.2022 02:34:47.750 GMT+0530,1.09112,1.0904,0.23,0.23
11.04.2022 02:34:47.801 GMT+0530,1.09151,1.09022,0.9,0.44
11.04.2022 02:34:47.905 GMT+0530,1.09111,1.09041,0.23,0.23
